112,BLU THUA GI-B B55-2,2019-01-16 18:58:55
113,TRAIKAAE CH-Y C10,2019-01-16 19:21:25
114,TRAIKAAE CH-Y C10,2019-01-16 20:24:10
115,OMEGA SECTOR KC-V C2-42,2019-01-16 21:28:56
116,HR 6164,2019-01-16 22:46:57
117,OMEGA SECTOR VE-Q B5-15,2019-01-16 23:48:21
118,THOR'S EYE,2019-01-17 00:05:08
119,TRIFID SECTOR DL-Y D157,2019-01-17 00:52:39
120,HR 6164,2019-01-17 08:43:21
121,SMOJUE EZ-Q C18-7,2019-01-17 18:43:17
122,PRAEA EUQ T-H D10-1,2019-01-17 20:08:59
123,TRAIKAAE DK-H C 10-18,2019-01-17 22:49:52
124,OMEGA SECTOR VE-Q B5-15,2019-01-18 00:52:45
125,OMEGA SECTOR VE-Q B5-15,2019-01-18 00:55:08
126,SMOJUE CK-I D9-2,2019-01-18 02:46:37
127,HR 6164,2019-01-18 02:59:53
128,PRAEA EUQ YM-Z C27-19,2019-01-18 11:07:07
129,TRAIKAAE CH-Y C10,2019-01-18 18:36:38
130,OMEGA SECTOR VE-Q B5-15,2019-01-18 19:53:56
131,PROOE DRYE PI-O B25-3,2019-01-19 03:41:09
132,OMEGA SECTOR VE-Q B5-15,2019-01-19 06:47:55
133,OMEGA SECTOR VE-Q B5-15,2019-01-19 23:40:36
134,HR 6164,2019-01-20 00:21:01
135,OMEGA SECTOR LC-V C2-26,2019-01-20 19:54:34
136,HR 6164,2019-01-20 22:25:15
137,OMEGA SECTOR VE-Q B5-15,2019-01-21 00:04:28
138,OMEGA SECTOR JX-T B3-16,2019-01-21 04:18:09
139,OMEGA SECTOR VE-Q B5-15,2019-01-21 07:22:10
140,PW2010 210,2019-01-21 23:26:16
141,OMEGA SECTOR JX-T B3-16,2019-01-21 23:33:58
142,OMEGA SECTOR VE-Q B5-15,2019-01-22 00:10:19
143,SMOJAI EC-D B12-5,2019-01-22 05:13:56
144,OMEGA SECTOR JX-T B3-16,2019-01-22 15:09:03
145,HYPIO PRAO SC-W B47-11,2019-01-23 02:03:54
146,EIDAILLS YS-G B41-3,2019-01-23 04:45:18
147,OMEGA SECTOR VE-Q B5-15,2019-01-23 17:59:58
148,TRIFID SECTOR HR-W D1-256,2019-01-25 00:12:16
149,BLEIA DRYIAE OK-C D14-119,2019-01-25 03:36:03
150,YAIKOU MQ-B D14-2,2019-01-25 05:24:37
151,M21 SECTOR JH-V D2-46,2019-01-25 10:33:46
152,SKAUDAI DC-B D14-65,2019-01-26 02:57:52
153,OMEGA SECTOR VE-Q B5-15,2019-01-26 09:51:05
154,OMEGA SECTOR EL-Y D158 ,2019-01-26 11:42:14
155,OMEGA SECTOR VE-Q B5-15,2019-01-26 18:07:24
156,HR 6164,2019-01-27 07:23:09
157,PYRAMOE PM-X B33-6,2019-01-27 21:55:51
158,PYRAMOE PM-X B33-6,2019-01-27 22:13:51
159,PYRAMOE PM-X B33-6,2019-01-27 23:53:35
160,OMEGA SECTOR PY-R B4-1,2019-01-28 00:40:49
161,FLYIEDGIAE ND-R D5-13,2019-01-28 02:01:24
162,PYRAMOE PM-X B33-6,2019-01-28 02:16:09
163,EAGLE SECTOR GW-W C1-38,2019-01-28 02:27:24
164,PYRAMOE PM-X B33-6,2019-01-28 03:40:41
165,PRU AESCS NC-M D7-192,2019-01-28 05:19:27
166,PYRAMOE IR-U B48-4,2019-01-28 15:49:52
167,PYRAMOE PM-X B33-6,2019-01-28 20:14:03
168,CD-23 14350,2019-01-28 20:35:50
169,NYEAJEAU ML-X C1-2,2019-01-28 21:08:22
170,PYRAMOE PM-X B33-6,2019-01-29 00:26:41
171,PRU AESCS NC-M D7-192,2019-01-29 02:51:26
172,PRU AESCS TY-J A64-1,2019-01-29 17:39:30
173,PYRAMOE NY-P D6-105,2019-01-29 21:37:51
174,PRU AESCS NC-M D7-192,2019-01-30 05:00:19
175,PRU AESCS NC-M D7-192,2019-01-30 05:04:15
176,PRU AESCS NC-M D7-192,2019-01-30 05:17:49
177,PRU AESCS TY-J A64-1,2019-01-30 06:08:08
178,PRU AESCS NC-M D7-192,2019-01-30 06:25:52
179,PRU AESCS NC-M D7-192,2019-01-30 07:50:44
180,PLAA AESCS ZD-S B4-5,2019-01-30 13:33:47
181,PRU AESCS NC-M D7-192,2019-01-30 17:11:36
182,PRU AESCS NC-M D7-192,2019-01-30 20:01:42
183,PRIELAEI UC-Y B29-8,2019-01-30 20:36:33
184,PRU AESCS NC-M D7-192,2019-01-30 21:30:20
185,PRU AESCS HW-S B3 1-2 ,2019-01-30 21:43:14
186,PRU AESCS NC-M D7-192,2019-01-30 22:33:01
187,FLYIEDGIAE QN-T D3-17,2019-01-30 23:04:38
188,ELLAIDST AA-A H9,2019-01-31 02:00:42
189,PRU AESCS NC-M D7-192,2019-01-31 02:14:21
190,PRU AESCS NC-M D7-192,2019-01-31 03:01:54
191,PRU AESCS NC-M D7-192,2019-01-31 03:36:41
192,PRU AESCS NC-M D7-192,2019-01-31 04:04:41
